,win_chef,lose_chef,on_air,guest,order_in,win_recipe,lose_recipe,match_key
0,13,24,2015-01-19,52,0,-1.0,-1.0,2015-01-19_1
1,15,16,2015-01-19,52,1,-1.0,-1.0,2015-01-19_2
2,0,31,2015-01-26,67,2,-1.0,-1.0,2015-01-26_1
3,10,17,2015-01-26,67,3,-1.0,-1.0,2015-01-26_2
4,17,15,2015-02-02,29,4,-1.0,-1.0,2015-02-02_1
5,16,0,2015-02-02,29,5,-1.0,-1.0,2015-02-02_2
6,13,10,2015-02-09,32,6,-1.0,-1.0,2015-02-09_1
7,24,31,2015-02-09,32,7,-1.0,-1.0,2015-02-09_2
8,0,16,2015-02-16,139,8,-1.0,-1.0,2015-02-16_1
9,10,15,2015-02-16,139,9,-1.0,-1.0,2015-02-16_2
10,17,24,2015-02-23,60,10,-1.0,-1.0,2015-02-23_1
11,13,31,2015-02-23,60,11,-1.0,-1.0,2015-02-23_2
12,10,31,2015-03-02,75,12,-1.0,-1.0,2015-03-02_1
13,24,17,2015-03-02,75,13,-1.0,-1.0,2015-03-02_2
14,0,15,2015-03-09,180,14,5977.0,5978.0,2015-03-09_1
15,13,16,2015-03-09,180,15,5976.0,5975.0,2015-03-09_2
16,17,31,2015-03-16,83,16,5981.0,5982.0,2015-03-16_1
17,16,10,2015-03-16,83,17,5979.0,5980.0,2015-03-16_2
18,13,0,2015-03-23,46,18,5986.0,5985.0,2015-03-23_1
19,15,24,2015-03-23,46,19,5984.0,5983.0,2015-03-23_2
20,15,10,2015-03-30,108,20,5989.0,5990.0,2015-03-30_1
21,4,17,2015-03-30,108,21,5988.0,5987.0,2015-03-30_2
22,24,0,2015-04-06,59,22,-1.0,5993.0,2015-04-06_1
23,16,31,2015-04-06,59,23,5992.0,5991.0,2015-04-06_2
24,31,0,2015-04-13,38,24,5997.0,5998.0,2015-04-13_1
25,10,4,2015-04-13,38,25,5995.0,5996.0,2015-04-13_2
26,24,15,2015-04-20,157,26,-1.0,6002.0,2015-04-20_1
27,17,13,2015-04-20,157,27,5999.0,6000.0,2015-04-20_2
28,10,0,2015-04-27,61,28,6006.0,6005.0,2015-04-27_1
29,24,16,2015-04-27,61,29,-1.0,6004.0,2015-04-27_2
30,17,31,2015-05-04,119,30,6010.0,6009.0,2015-05-04_1
31,4,13,2015-05-04,119,31,6008.0,6007.0,2015-05-04_2
32,0,17,2015-05-11,178,32,6014.0,6013.0,2015-05-11_1
33,31,16,2015-05-11,178,33,-1.0,6012.0,2015-05-11_2
34,10,24,2015-05-18,92,34,6018.0,6017.0,2015-05-18_1
35,15,13,2015-05-18,92,35,6016.0,6015.0,2015-05-18_2
36,17,22,2015-05-25,55,36,-1.0,6021.0,2015-05-25_1
37,4,31,2015-05-25,55,37,6020.0,6019.0,2015-05-25_2
38,0,16,2015-06-01,105,38,6025.0,6026.0,2015-06-01_1
39,10,13,2015-06-01,105,39,6024.0,6023.0,2015-06-01_2
40,16,10,2015-06-08,115,40,6030.0,6029.0,2015-06-08_1
41,22,31,2015-06-08,115,41,6028.0,6027.0,2015-06-08_2
42,13,24,2015-06-15,109,42,6033.0,6034.0,2015-06-15_1
43,15,0,2015-06-15,109,43,6031.0,-1.0,2015-06-15_2
44,22,24,2015-06-22,133,44,6038.0,6037.0,2015-06-22_1
45,13,16,2015-06-22,133,45,6035.0,6036.0,2015-06-22_2
46,31,17,2015-06-29,118,46,6041.0,6042.0,2015-06-29_1
47,4,0,2015-06-29,118,47,6040.0,-1.0,2015-06-29_2
48,17,31,2015-07-06,171,48,6046.0,6045.0,2015-07-06_1
49,0,13,2015-07-06,171,49,6043.0,6044.0,2015-07-06_2
50,15,10,2015-07-13,81,50,6050.0,6049.0,2015-07-13_1
51,16,4,2015-07-13,81,51,6048.0,6047.0,2015-07-13_2
52,17,24,2015-07-20,100,52,6054.0,6053.0,2015-07-20_1
53,14,13,2015-07-20,100,53,-1.0,6052.0,2015-07-20_2
54,0,31,2015-07-27,127,54,6057.0,6058.0,2015-07-27_1
55,15,16,2015-07-27,127,55,6055.0,6056.0,2015-07-27_2
56,16,17,2015-08-03,58,56,6061.0,6062.0,2015-08-03_1
57,15,8,2015-08-03,58,57,6059.0,6060.0,2015-08-03_2
58,0,24,2015-08-10,40,58,6065.0,-1.0,2015-08-10_1
59,4,31,2015-08-10,40,59,6063.0,6064.0,2015-08-10_2
60,10,14,2015-08-17,107,60,6069.0,6070.0,2015-08-17_1
61,16,31,2015-08-17,107,61,-1.0,6068.0,2015-08-17_2
62,17,15,2015-08-24,70,62,6074.0,6073.0,2015-08-24_1
63,4,13,2015-08-24,70,63,6071.0,6072.0,2015-08-24_2
64,14,17,2015-08-31,56,64,-1.0,6077.0,2015-08-31_1
65,13,16,2015-08-31,56,65,6076.0,6075.0,2015-08-31_2
66,31,8,2015-09-07,145,66,6081.0,6082.0,2015-09-07_1
67,4,15,2015-09-07,145,67,6079.0,6080.0,2015-09-07_2
68,0,16,2015-09-14,79,68,6086.0,6085.0,2015-09-14_1
69,13,8,2015-09-14,79,69,6083.0,6084.0,2015-09-14_2
70,31,24,2015-09-21,51,70,6089.0,6090.0,2015-09-21_1
71,4,17,2015-09-21,51,71,6087.0,6088.0,2015-09-21_2
72,0,31,2015-09-28,87,72,6093.0,6094.0,2015-09-28_1
73,4,16,2015-09-28,87,73,6091.0,6092.0,2015-09-28_2
74,13,15,2015-10-05,84,74,6098.0,6097.0,2015-10-05_1
75,8,14,2015-10-05,84,75,6096.0,6095.0,2015-10-05_2
76,4,0,2015-10-12,179,76,6101.0,6102.0,2015-10-12_1
77,16,13,2015-10-12,179,77,6100.0,6099.0,2015-10-12_2
78,14,31,2015-10-19,144,78,6106.0,6105.0,2015-10-19_1
79,17,8,2015-10-19,144,79,6103.0,6104.0,2015-10-19_2
80,13,28,2015-10-26,165,80,6109.0,6110.0,2015-10-26_1
81,15,14,2015-10-26,165,81,6107.0,6108.0,2015-10-26_2
82,16,8,2015-11-02,73,82,-1.0,6114.0,2015-11-02_1
83,31,4,2015-11-02,73,83,6112.0,6111.0,2015-11-02_2
84,15,0,2015-11-09,13,84,6119.0,6120.0,2015-11-09_1
85,17,14,2015-11-09,13,85,6117.0,6118.0,2015-11-09_2
86,9,27,2015-11-09,13,86,-1.0,-1.0,2015-11-09_3
87,8,24,2015-11-16,31,87,6125.0,6126.0,2015-11-16_1
88,4,16,2015-11-16,31,88,6123.0,6124.0,2015-11-16_2
89,13,31,2015-11-16,31,89,6121.0,6122.0,2015-11-16_3
90,17,16,2015-11-23,162,90,6130.0,6129.0,2015-11-23_1
91,8,31,2015-11-23,162,91,6128.0,6127.0,2015-11-23_2
92,15,28,2015-11-30,39,92,6133.0,6134.0,2015-11-30_1
93,14,13,2015-11-30,39,93,6132.0,6131.0,2015-11-30_2
94,8,0,2015-12-07,74,94,6138.0,6137.0,2015-12-07_1
95,14,16,2015-12-07,74,95,6136.0,6135.0,2015-12-07_2
96,31,28,2015-12-14,57,96,6141.0,6142.0,2015-12-14_1
97,13,4,2015-12-14,57,97,6140.0,6139.0,2015-12-14_2
